p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
6.73192643209112e-265	4.91687363058607	0.175	0.009	2.26825529202878e-260	COCH	c28
4.65057719651044e-221	5.62971986016713	0.112	0.004	1.56696548059223e-216	CHGB	c28
7.90392829384547e-210	2.68471102333235	0.463	0.081	2.66314959932829e-205	IKZF4	c28
5.75294437040032e-201	1.77610423247798	0.775	0.227	1.93839707616268e-196	TNFRSF4	c28
3.50441906266999e-189	2.82405911581529	0.421	0.075	1.18077895897603e-184	LINC01281	c28
5.18606518037347e-185	1.58537292413121	0.533	0.108	1.74739280187504e-180	FOXP3	c28
9.63812712331153e-179	2.06621674751585	0.566	0.133	3.24747055292859e-174	TOX2	c28
1.85335694575874e-167	2.72664190585594	0.396	0.073	6.24470089303951e-163	ICA1	c28
4.99566590907551e-161	4.74217983018875	0.126	0.008	1.6832396714039e-156	PMCH	c28
2.28940802401809e-148	3.84626795900201	0.156	0.013	7.71393139612656e-144	CYP7B1	c28
1.53981933654507e-145	2.64329459901895	0.316	0.053	5.18826727255497e-141	CPM	c28
6.81581064971345e-145	1.68015570565789	0.608	0.172	2.29651924031445e-140	TNFRSF18	c28
5.41782413084836e-135	1.97446325095001	0.499	0.132	1.82548166264805e-130	MAGEH1	c28
1.43543692084529e-131	2.16905860008944	0.4	0.089	4.83656116109613e-127	NMB	c28
3.0080977902846e-120	2.01370945139537	0.4	0.094	1.01354846945849e-115	CD200	c28
4.375575726758e-120	3.4917838156715	0.17	0.019	1.47430648537384e-115	ZG16B	c28
7.61031473132709e-119	3.72587044977051	0.12	0.01	2.56421944557335e-114	HDAC9	c28
6.01315180592753e-113	1.39415881590242	0.724	0.272	2.02607136948922e-108	CTLA4	c28
1.15428445068066e-109	1.93514581302705	0.417	0.107	3.8892460281234e-105	IKZF2	c28
5.48330723723429e-106	1.93921859218983	0.585	0.213	1.84754554051372e-101	MAL	c28
7.67731350636821e-105	2.63497996581581	0.269	0.052	2.5867940128357e-100	COL9A2	c28
6.69256435683194e-104	2.51617827468742	0.282	0.056	2.25499263439095e-99	KIAA1324	c28
3.07175661793031e-100	4.78616600851368	0.053	0.002	1.03499767484544e-95	TWIST1	c28
1.91360413850766e-98	3.29983314923203	0.149	0.018	6.44769778428771e-94	CHRNA6	c28
1.89960593712412e-96	1.69924487195035	0.554	0.198	6.40053224454603e-92	FBLN7	c28
2.73555895666919e-96	1.9462077474311	0.499	0.168	9.21719234860118e-92	SESN3	c28
6.96802870038821e-95	2.76622440605973	0.2	0.032	2.3478075903088e-90	UNQ6494	c28
1.04920919172493e-92	1.79745100615159	0.469	0.15	3.53520545059798e-88	TBC1D4	c28
1.40832531788331e-92	1.21468504044599	0.836	0.441	4.74521132607604e-88	TIGIT	c28
1.80356939905125e-89	2.03823350175467	0.45	0.145	6.07694673316327e-85	IGFBP4	c28
1.48580830723982e-86	3.63778418745723	0.091	0.008	5.00628251041386e-82	CAV1	c28
1.44735983316301e-85	4.27617188078528	0.067	0.004	4.87673422185943e-81	TMOD1	c28
3.06984436379602e-82	3.78883856066224	0.099	0.01	1.03435335993743e-77	LINC01229	c28
3.92534050016214e-81	4.16191763423798	0.059	0.003	1.32260422812463e-76	RP11-624C23.1	c28
8.74210234539987e-81	2.22359966580737	0.267	0.061	2.94556396425903e-76	IL12RB2	c28
5.44634127940666e-80	2.32453378979539	0.242	0.052	1.83509023068328e-75	BHLHE40-AS1	c28
1.70871478476595e-77	2.4464351972136	0.232	0.05	5.75734359579038e-73	PDE7B	c28
2.2567281128635e-77	4.262259734201	0.055	0.003	7.60381970348227e-73	ZCCHC12	c28
6.54426484443882e-77	1.52624841744462	0.528	0.205	2.20502459668522e-72	NCF4	c28
4.4740877800068e-76	2.88975430643463	0.128	0.017	1.50749913659549e-71	TSHR	c28
1.71485782516867e-75	2.51728231872667	0.179	0.032	5.7780419561233e-71	METTL7A	c28
